2025-09-29 10:15:23.654 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:15:23.657 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:15:35.911 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:15:35.912 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:15:35.912 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:15:46.779 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:15:46.779 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:15:46.780 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:16:09.166 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:16:09.167 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:16:09.167 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:16:55.260 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:16:55.260 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:16:55.260 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:16:55.260 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:16:55.260 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:17:49.911 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:17:49.911 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:17:49.911 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:17:49.911 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:17:49.911 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:18:07.864 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:18:07.864 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:18:07.864 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:18:07.864 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:18:07.865 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:28:53.252 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:28:53.252 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:28:53.253 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:28:53.253 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:28:53.253 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:29:15.361 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:29:15.362 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:29:15.362 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:29:15.362 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:29:15.362 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:29:34.281 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:29:34.282 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:29:34.282 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:29:34.282 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:29:34.282 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:30:14.942 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:30:14.943 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:30:14.943 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:30:14.943 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:30:14.943 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
